year,month,day,hour,latitude,longitude,depth,mag
2018,11,22,5,37.6644,-105.4787,5.35,2.5
2018,11,22,1,36.4481667,-89.5365,9.77,3.12
2018,11,21,21,38.8614,-118.8762,8.7,2.5
2018,11,20,22,45.9525,-115.7774,12.95,4.1
2018,11,20,19,37.8088333,-122.1956667,6.88,2.55
2018,11,20,17,35.6703,-97.396,6.71,2.7
2018,11,20,17,35.6649,-97.3768,5,2.9
2018,11,20,7,44.2865,-114.9543,6.62,3.1
2018,11,20,6,32.2175,-115.238,21.83,2.5
2018,11,20,6,32.2355,-115.2345,20.18,2.78
2018,11,20,3,32.4861667,-115.582,18.63,2.59
2018,11,20,3,32.2251667,-115.2083333,18.9,2.56
2018,11,20,1,32.2201653,-115.231163,22.52,3.52
2018,11,19,23,32.215,-115.2321667,19.65,3.26
2018,11,19,23,32.2073333,-115.226,18.63,3.51
2018,11,19,21,32.2336667,-115.2161667,16.55,2.86
2018,11,19,21,32.2371667,-115.2665,5.94,2.76
2018,11,19,20,32.2388333,-115.2538333,19.6,2.58
2018,11,19,20,32.2325,-115.251,21.33,3.22
2018,11,19,20,32.2065,-115.2535,10.95,4.82
2018,11,19,18,35.0272,-97.623,9.2,3
2018,11,19,11,47.698,-123.5516667,39.32,4.07
2018,11,19,9,38.7697,-97.5578,5,2.6
2018,11,19,7,38.7615,-97.5459,5,2.6
2018,11,18,20,40.3153333,-124.6623333,14.86,2.64
2018,11,18,13,37.3662,-97.9782,5,2.7
2018,11,18,12,40.3841667,-124.636,24,2.51
2018,11,18,11,37.3514,-97.9859,2.1,2.8
2018,11,18,4,35.8532,-97.8183,6.54,2.5
2018,11,17,23,35.5926,-97.3721,8.96,2.6
2018,11,17,21,38.8156,-97.5725,5,2.8
2018,11,17,18,36.9681667,-121.6096667,3.95,2.76
2018,11,17,18,35.4813333,-121.3178333,18.13,2.71
2018,11,17,15,36.7868,-98.332,5,2.8
2018,11,16,17,36.9648,-97.8413,7.3,3
2018,11,16,10,32.626,-115.5501667,5.43,2.9
2018,11,16,8,34.207,-116.8603333,2.42,2.94
2018,11,16,6,32.1985,-117.6826667,5.93,2.59
2018,11,16,5,35.3695,-98.111,10.91,2.9
2018,11,16,5,33.1596667,-115.6338333,3.01,2.94
2018,11,15,23,40.3841667,-123.768,23.34,2.52
2018,11,15,19,36.6781667,-121.3031667,4.15,2.6
2018,11,15,17,36.7915,-97.7327,5,2.9
2018,11,15,15,35.9622,-96.7613,6.32,2.7
2018,11,15,9,42.6552,-111.4616,11.01,3.8
2018,11,15,6,33.157,-115.636,3.26,3.45
2018,11,15,2,35.7028333,-121.0193333,8.38,2.61
2018,11,15,2,42.674,-111.446,8.51,2.89
2018,11,15,0,37.4288,-97.4085,5,2.5
2018,11,14,21,42.6567,-111.4654,7.62,3.1
2018,11,14,15,35.9948333,-117.694,2.4,2.64
2018,11,14,7,36.9548,-97.9588,4.63,2.5
2018,11,14,3,36.2934,-97.0181,4.89,3.3
2018,11,13,20,36.4662,-98.7693,5.47,2.8
2018,11,13,19,46.9721,-112.5253,12.75,2.6
2018,11,13,17,42.6636,-111.4842,5,3
2018,11,13,9,34.0308333,-116.601,10.44,2.51
2018,11,13,5,36.4116667,-120.7423333,15.85,2.54
2018,11,12,23,42.653,-111.4862,5,3.2
2018,11,12,21,35.796,-96.9652,8.72,2.6
2018,11,12,18,36.4203,-96.8674,10.45,3
2018,11,12,11,36.3688,-97.7095,6.72,2.5
2018,11,12,0,39.229,-120.0988333,3.59,2.95
2018,11,11,23,36.2867,-97.5135,7.2,2.5
2018,11,11,18,36.7682,-98.0628,6.84,2.7
2018,11,11,6,40.4561,-116.1253,7.7,3.3
2018,11,10,20,38.0626667,-122.2278333,8.51,2.7
2018,11,10,19,38.061,-122.2285,8.84,3.53
2018,11,10,14,36.6686667,-121.2943333,5.89,3.45
2018,11,10,10,32.7803333,-116.4071667,12.11,2.57
2018,11,9,20,39.4251667,-123.2875,5.55,3.79
2018,11,9,14,33.4853333,-116.8048333,1.43,3.78
2018,11,9,14,33.4835,-116.803,1.95,2.95
2018,11,9,14,33.4835,-116.8021667,2.05,3.7
2018,11,9,14,33.4813333,-116.8018333,1.88,2.94
2018,11,9,14,25.9824,-110.4898,10,4.9
2018,11,9,14,33.1963333,-115.6086667,3.8,2.53
2018,11,9,7,32.402,-115.2543333,20.45,2.73
2018,11,9,5,32.3843333,-115.2398333,12.13,3.25
2018,11,9,4,35.2266667,-118.8758333,14.06,2.98
2018,11,9,4,47.6025,-70.162,11.19,2.6
2018,11,8,23,36.4603333,-121.0425,4.98,2.72
2018,11,8,20,40.3676667,-124.728,23.86,2.64
2018,11,8,19,36.699,-97.6743,7.22,2.5
2018,11,8,17,33.7793333,-116.1338333,7.87,3.2
2018,11,8,1,37.7951667,-121.6116667,15.61,2.78
2018,11,7,17,36.2783,-97.511,6.09,2.5
2018,11,7,6,33.4936667,-116.5148333,14.03,2.87
2018,11,7,3,36.5578,-112.7508,18.29,2.5
2018,11,6,19,37.7171667,-122.1216667,5.38,2.53
2018,11,6,6,40.3268,-119.6852,3.8,2.8
2018,11,6,6,36.1476667,-118.0665,0.59,3.48
2018,11,6,4,40.3806667,-120.7603333,-1.21,2.51
2018,11,5,14,36.7884,-97.7317,4.82,2.7
2018,11,5,0,35.2355,-97.7523,6.28,3.3
2018,11,4,21,35.1715,-111.541,5,3.1
2018,11,4,21,37.8813333,-112.5428333,7.44,2.63
2018,11,4,10,36.7785,-121.5086667,7.82,2.72
