latitude,longitude,depth,gap,dmin,rms,horizontalError,depthError,magError,magNst
34.5766,141.7403,8,123,2.166,0.78,6.8,4.6,0.067,70
24.4435,127.7271,10,89,2.432,0.79,6.2,1.9,0.12,20
9.81,126.8643,10,175,3.004,0.68,12.2,1.9,0.122,19
37.3421,141.3009,35.63,128,0.664,0.7,6.1,7,0.072,57
23.4944,126.0344,10,106,3.896,0.87,9.3,1.9,0.153,13
39.5778,72.7426,48.26,52,1.557,0.93,6.7,7.9,0.11,24
27.8577,67.7439,10,158,6.754,0.72,9.4,2,0.104,26
18.8852,145.3303,215.58,126,3.65,0.65,14,9.3,0.123,18
33.154,140.8732,48.18,166,0.889,1.31,7.5,9.6,0.266,4
51.7883,152.5726,403.4,129,3.403,0.78,12,7.2,0.032,268
17.3091,119.9794,57.49,131,3.319,0.57,10,4.5,0.183,8
35.9619,70.9059,93.56,81,1.191,0.56,6.4,6.4,0.08,15
23.4342,121.5882,22.24,35,0.27,1.09,4.4,3.7,0.059,28
14.3971,147.0842,10,70,1.507,0.87,7.7,1.9,0.065,72
38.6921,70.7017,48.02,61,1.325,1.04,4.7,5.2,0.132,16
36.7869,71.3518,186.2,68,0.707,0.84,8.2,6.3,0.075,49
36.4994,71.2229,205.8,76,0.812,0.54,8.4,10.2,0.224,6
42.3526,142.7726,104.28,89,0.442,0.68,7.2,7.7,0.113,21
50.2395,155.2213,147.3,164,3.26,0.58,11.4,8.4,0.036,234
24.4632,100.8439,10,83,3.367,0.75,7.7,1.9,0.055,102
28.872,142.6645,20.76,144,1.819,0.79,10.6,6.5,0.128,18
22.5842,93.3372,37.69,168,0.249,0.86,5.3,7,0.129,17
36.5565,70.4146,188.39,88,0.582,0.46,9.1,6,0.127,17
24.578,121.6247,55.67,54,0.244,1,5.4,1.6,0.086,13
18.6461,145.2305,174.01,132,3.428,0.98,12.8,9.2,0.07,57
12.2421,143.9058,39.08,120,1.635,0.51,15.2,10.9,0.205,7
36.725,141.5195,40.54,160,1.281,0.79,5,11,0.149,13
12.9905,143.3272,49,162,1.614,0.71,15.7,9.4,0.091,34
22.6293,144.4383,80.28,136,4.895,0.88,11,7.5,0.076,52
42.0374,142.7464,74.52,81,0.306,0.51,5.7,6.4,0.094,32
24.5258,94.3633,49.3,106,0.3,1.07,8.5,6,0.174,9
18.342,146.574,65.06,206,3.174,0.86,10.5,11.6,0.116,21
32.802,132.1368,42.04,59,1.107,1.33,6.8,5,0.059,28
41.8851,141.4714,110.34,94,1.136,0.55,8.8,8,0.073,52
44.4367,149.1061,40.92,145,4.687,0.61,9.7,7.9,0.054,100
37.1425,140.1271,106.04,115,0.896,0.72,7.1,6.8,0.06,82
32.3391,105.192,10,46,4.217,0.69,8.3,1.9,0.046,142
12.9927,142.2971,93.79,102,2.572,0.42,16,9.5,0.141,15
22.5681,121.4132,10,108,0.395,0.65,5.2,1.9,0.102,27
41.9088,142.4276,62.77,110,0.554,0.38,5.3,9.3,0.19,8
14.5454,146.7567,55.8,122,1.163,0.74,9.9,8,0.054,103
38.432,141.9695,55.84,130,1.086,0.72,6.7,5.4,0.066,22
33.0003,140.1304,137.3,117,0.289,1.12,8.6,5.7,0.079,47
43.9076,138.2059,255.25,37,3.172,0.75,7.1,7.5,0.049,120
14.4856,146.8636,35,37,1.281,0.76,10.9,1.9,0.039,210
14.8169,145.9132,107,139,0.438,0.55,10.7,6.1,0.074,51
15.4399,119.5322,19.53,101,1.901,0.84,7.4,5,0.084,42
35.7797,82.2307,33.68,46,6.872,1.31,7.6,4.1,0.061,82
36.4507,71.3367,106.16,75,0.909,0.72,6.7,5.2,0.124,18
28.3621,97.5473,15.08,166,5.042,0.89,8.4,5.9,0.136,15
13.5525,144.628,111.68,100,0.236,0.56,13.3,5.1,0.072,56
34.8817,86.9413,10,50,6.261,0.45,8.3,1.9,0.065,73
38.3834,73.7817,135.66,67,2.833,0.73,5.8,8.6,0.118,20
39.4707,73.3862,10,70,1.876,0.84,6,1.9,0.174,9
46.5903,155.1621,10,139,6.727,1.03,8.2,1.9,0.168,10
9.7556,126.1471,70.13,115,2.727,0.85,9.1,7,0.06,81
24.0832,121.8625,8.2,140,0.26,0.8,6.2,5.5,0.068,64
37.9678,72.7523,133.16,69,1.923,0.38,7.3,6.3,0.118,21
30.7774,130.3348,124.15,113,2.385,0.64,7.7,1.9,0.08,44
13.9624,144.8802,124.95,120,0.371,0.62,9.1,2.4,0.14,14
13.7104,144.8761,131.02,154,0.12,0.57,14.8,1.3,0.187,8
18.751,95.3043,85.22,137,2.585,0.68,7.7,7,0.058,90
14.0307,144.9928,115.52,131,0.455,0.51,7.5,6.6,0.083,42
11.306,124.7314,10,142,8.666,0.67,14.2,1.9,0.191,8
13.8001,146.66,10,231,1.662,0.66,5.5,2,0.172,10
17.3652,120.3207,61.09,130,3.298,1.44,10.9,8.6,0.163,11
18.803,145.4961,223.12,99,3.553,0.59,9.9,7.6,0.051,111
31.092,138.2442,10,105,2.406,0.88,7.6,1.9,0.104,27
12.9107,144.2038,31.58,88,0.934,0.68,10.6,6.1,0.06,83
36.9638,96.8178,10,105,14.592,0.85,13.5,1.9,0.084,41
12.1377,143.85,28.86,118,1.751,0.79,13.5,6.2,0.056,95
13.7258,146.4669,10,217,1.559,0.59,11.2,2,0.08,47
12.3508,93.1579,57.51,27,6.148,0.83,7.8,4.6,0.089,12
14.0555,146.2966,10,125,1.276,0.96,4.5,1.9,0.078,54
13.7415,146.3782,10,27,1.475,0.68,9.9,1.7,0.073,18
13.8029,146.3351,10,19,1.441,0.81,9,1.7,0.069,20
13.7336,146.5505,10,134,1.641,0.95,8,1.5,0.063,79
13.8398,146.3405,11,29,1.452,0.82,3.6,1.8,0.052,36
28.0614,128.0841,39.55,84,1.232,0.97,6.4,9.4,0.09,36
38.7344,144.6161,10,127,3.131,0.95,6.1,1.9,0.073,55
37.1763,141.4783,39.65,159,0.882,1.04,7.6,10.4,0.147,13
39.3702,116.6509,10,116,0.746,1.19,4.9,1.8,0.103,28
18.6993,145.6114,278.77,146,3.443,0.45,19.7,11.8,0.092,31
36.9673,71.5269,38.3,98,0.776,1.15,7.1,4.6,0.112,23
18.8404,145.3497,530.4,121,3.604,0.65,15.2,10.4,0.049,110
19.189,146.305,35,153,3.957,0.53,14.8,2,0.148,13
13.8205,146.4377,10,15,1.542,0.73,7.2,1.7,0.057,30
42.8508,145.6963,45.7,183,2.056,0.42,4.7,10.6,0.128,18
30.4816,87.4907,12.07,95,2.583,0.83,7.3,4.9,0.115,24
23.8539,121.6227,10,86,0.319,0.43,3,1.8,0.095,32
32.3277,140.4019,10,97,0.928,0.89,3.1,1.8,0.031,322
51.1325,160.4424,10,187,2.193,0.3,8.9,2,0.173,9
23.2283,123.3567,24.74,123,1.273,0.7,6.7,6.2,0.075,52
12.818,143.3457,124.68,133,1.669,0.54,14.3,13.3,0.212,6
36.0763,129.2983,5.4,22,1.547,0.57,3.3,3.8,0.078,16
36.4219,140.8446,45.5,153,1.445,0.86,2.2,8.5,0.107,25
18.4714,145.6889,213.94,100,3.214,0.85,9.4,4.8,0.031,306
46.6756,155.2455,23.06,173,6.631,0.95,4.4,6.2,0.053,105
23.9255,122.5497,28.25,104,0.684,0.82,3.1,7.2,0.137,15
24.1781,121.8575,12.29,89,0.24,0.55,3.2,2.7,0.068,21
32.4809,89.6565,35,73,3.042,1.02,4.9,1.9,0.089,35
29.2059,142.431,13.51,160,2.113,1.04,8.2,4.5,0.105,26
24.0191,121.8212,10,33,0.258,0.87,2.6,1.7,0.068,21
18.2178,96.1961,20.86,182,2.619,0.54,9.1,3.5,0.265,5
22.2796,100.9456,10,59,1.601,1.07,6.1,1.9,0.075,53
34.7398,139.2425,155.69,120,0.875,1.23,7.6,7.7,0.075,49
32.7992,111.6572,10,52,3.12,0.89,7.7,1.9,0.044,158
34.0619,136.1704,386.32,37,1.466,0.88,7.4,6.8,0.048,119
13.9229,120.8467,122.31,114,0.198,0.69,10,4.9,0.081,44
18.2361,94.3767,43.31,71,3.553,0.68,7.6,7.1,0.11,24
23.9208,121.6602,10,94,0.258,0.5,3.3,1.9,0.073,57
32.8745,93.3826,10,35,3.704,0.94,8.4,1.9,0.051,117
30.3854,87.8193,10,55,2.573,0.93,9.1,1.8,0.084,39
25.9376,128.512,10,80,0.92,1.04,7.2,1.9,0.167,10
36.0018,139.2474,73.22,83,1.002,0.83,6.4,8.3,0.061,79
23.9143,121.651,10,140,0.263,0.48,2.4,1.9,0.126,19
42.6717,146.8038,65.04,170,2.781,0.56,10.8,8.2,0.055,99
23.9445,121.5947,7.08,95,0.228,0.41,2.3,5.3,0.181,9
23.9027,121.6705,7.59,84,0.278,0.53,5.9,4.4,0.086,13
47.9214,151.5237,185.9,175,6.515,0.52,14.4,10.5,0.085,39
41.4786,144.1878,10,138,0.939,0.95,7.5,1.9,0.069,62
18.1755,96.1481,10,166,2.669,0.81,8.8,2,0.197,7
24.113,121.8411,10,89,0.233,0.65,3.3,1.9,0.094,33
24.0739,121.7386,15,40,0.164,1.04,4,1.7,0.055,32
23.9436,121.7443,10,67,0.266,0.74,5.1,1.7,0.078,49
24.0304,121.7812,8.65,80,0.222,0.86,4.7,4.6,0.098,10
23.9579,121.7285,10,82,0.247,0.54,4.3,0.9,0.055,102
24.1559,121.7602,10,90,0.152,0.6,2.4,1.8,0.158,11
26.2455,129.5448,15.66,62,1.282,1.01,3.6,4.9,0.118,21
44.1067,148.042,61.59,165,3.924,0.77,10.1,8.7,0.046,145
24.0477,121.75,10,79,0.189,0.71,2.9,1.8,0.069,20
24.0456,121.7349,7.15,79,0.18,0.67,2.9,3.7,0.065,23
23.9887,121.6757,10,80,0.198,0.95,2.8,1.8,0.078,49
23.9624,121.6022,10,94,0.21,0.69,3.7,1.9,0.096,32
24.0484,121.7165,10,78,0.167,0.71,1.6,1.9,0.068,68
26.9466,143.7271,10,166,1.384,0.41,6.5,2,0.199,7
38.2183,72.4526,111.07,127,1.845,0.87,7.6,9.3,0.157,12
38.1537,72.478,111.52,47,1.825,0.63,6.3,5.4,0.056,103
36.7045,70.407,266.29,66,0.441,0.74,8.1,5.9,0.15,12
23.9423,121.6245,7.96,96,0.232,0.65,2.5,5.2,0.152,12
24.0501,121.7487,8.12,34,0.187,0.96,3.2,2.6,0.103,9
23.9428,121.7782,7.88,42,0.284,0.8,3,3.2,0.058,93
37.7859,72.1353,126.93,65,1.405,1.16,5,11,0.182,9
23.9922,121.7557,14,30,0.233,0.74,4.4,1.8,0.098,10
24.0463,121.7745,9.26,35,0.207,0.85,6,3.6,0.127,6
24.1074,121.779,4.9,24,0.18,0.91,5.4,3.4,0.103,9
23.9479,121.6674,3.67,82,0.234,0.46,3.4,1.8,0.116,22
23.9222,121.6571,10,82,0.256,0.67,4.9,1.8,0.055,108
24.1032,121.619,8,96,0.073,0.41,2.6,3.7,0.379,2
43.623,102.1351,14.97,185,5.16,0.75,14.4,8.6,0.38,2
24.1338,121.6586,17,34,0.07,0.91,3.9,1.7,0.047,44
13.0218,122.3788,35.41,135,1.766,0.85,14.3,9,0.206,7
36.7494,140.862,50.91,156,1.119,0.99,4.7,9.9,0.175,9
15.324,146.286,56.04,155,0.486,0.72,12.3,6.6,0.111,23
24.0332,121.7779,6.24,80,0.218,0.75,2.3,5.1,0.111,24
24.1693,121.7052,9.4,73,0.101,0.97,2.2,4.4,0.063,24
18.2322,120.7818,54.47,81,4.57,0.8,9,7.3,0.048,134
26.8275,129.4155,26.91,129,1.021,0.61,5.9,5.7,0.058,93
26.0563,128.4904,12.7,78,0.8,0.77,5.7,3.5,0.078,49
9.0684,126.1541,54.71,153,22.324,0.71,17.5,10.2,0.134,16
24.1136,121.7189,10.14,90,0.128,0.65,2.8,4.7,0.078,16
26.9834,140.1995,477.84,39,1.774,0.81,9.2,3.7,0.069,20
24.127,121.8548,10.69,93,0.242,0.76,5.8,1.9,0.086,39
18.2777,96.234,10,127,2.578,0.86,3.8,1.9,0.125,19
24.1071,121.7522,8.42,76,0.158,0.57,2.6,3.7,0.103,9
50.0091,88.8549,18.54,75,4.667,0.67,9.6,4.2,0.071,57
24.1311,121.7755,10,75,0.17,1.07,2.7,1.8,0.067,68
24.1707,121.8397,7.69,75,0.223,0.65,4.6,1.3,0.096,32
24.182,121.7835,12.77,73,0.172,0.46,4.8,4.7,0.074,55
24.0953,121.7461,7.19,77,0.158,0.9,3.1,2.9,0.139,5
24.1256,121.7641,9.14,75,0.162,0.56,5.2,3.5,0.073,18
24.1798,121.8219,10,137,0.207,0.83,4.3,1.5,0.153,18
24.1393,121.7574,9.85,89,0.152,0.67,3.5,2.2,0.066,72
24.1537,121.8778,10,104,0.259,0.93,2.8,1.9,0.127,19
24.1572,121.7078,12,30,0.104,0.87,5.5,1.7,0.047,43
24.1244,121.7188,10.39,87,0.123,0.72,2.8,5.7,0.114,22
24.1787,121.7321,10.15,57,0.125,0.95,5,3.7,0.089,12
16.0664,96.3651,10,211,3.423,0.59,7.6,2,0.304,3
24.1577,121.7152,11.14,74,0.111,0.62,4.9,4.4,0.066,71
20.5966,99.5264,10,67,0.688,1.08,6,1.9,0.114,23
21.4834,143.0571,329.85,77,5.643,1.42,10.2,9.4,0.086,36
38.1923,134.2941,428.05,52,3.521,0.57,9.8,7.3,0.106,26
39.2944,142.1203,58.13,153,1.699,1.15,4.9,9.5,0.102,27
43.1071,76.841,14.65,73,0.902,0.41,4.1,7.2,0.507,1
41.1003,142.7207,53.15,135,0.97,0.87,4.8,9.1,0.235,5
37.1964,142.0206,23.81,129,1.186,1.18,6.9,6.1,0.063,74
28.0979,129.4025,41.95,100,1.608,0.92,7.6,7.1,0.107,25
11.9057,124.5158,10,135,4.115,0.9,8.9,1.4,0.106,26
24.9196,122.2869,146.15,55,0.719,0.89,7.8,4.2,0.156,11
30.7809,131.7693,10,67,2.457,1.04,2.5,1.9,0.111,23
36.4981,70.273,212.38,69,0.671,0.4,8.3,5.2,0.211,6
36.5261,70.8507,193.73,17,0.637,0.86,6.7,3.2,0.046,45
26.2493,66.337,10,168,7.619,0.71,6.6,1.9,0.099,29
26.3948,66.1148,10,140,8.502,0.74,9.7,1.5,0.122,19
26.2977,66.223,10,142,8.568,0.74,7.2,1.9,0.06,84
15.4334,147.2277,41.58,135,1.401,0.24,7.8,14.9,0.167,10
36.3073,141.0725,47.25,133,1.575,0.75,7.4,7.4,0.067,68
42.0079,142.5396,60.2,100,0.46,0.97,5.7,4.9,0.089,12
24.5706,89.5825,16.25,160,2.287,1.11,8.2,5.4,0.189,8
19.282,121.2228,27.94,106,3.52,1.08,7.9,2.7,0.066,69
44.4515,149.2646,59.71,140,4.801,0.51,7.9,7.4,0.061,82
44.5235,149.2329,52.89,136,4.781,0.6,10.5,8,0.063,74
38.4617,141.8381,49.27,101,1.016,0.79,6.3,6.3,0.083,14
41.161,142.2391,45.58,141,0.963,0.63,3.4,7.5,0.098,10
43.2015,77.7514,29.34,99,0.848,0.72,5.8,6.6,0.271,4
41.022,142.3731,50.32,134,1.018,0.88,4.1,7.1,0.059,87
40.6007,142.8643,35,145,1.381,1.3,6,1.9,0.089,36
36.4066,71.3159,103.61,108,0.931,0.69,7.8,5.9,0.115,21
12.7324,119.2192,10,167,2.155,0.55,7.9,2,0.178,9
24.432,125.3601,52.26,128,2.14,0.62,4.2,12.7,0.232,5
8.9111,126.5555,42.14,36,2.069,0.81,7.8,4.8,0.034,269
13.7056,121.0165,142.73,122,9.55,0.41,8.3,10.4,0.176,9
40.1907,142.319,51.7,133,1.128,0.6,6.8,5.6,0.117,7
47.5637,152.4249,119.04,187,6.495,1.31,20.5,17.9,0.164,10
36.1753,70.2259,123.25,77,0.989,0.78,3.9,7.9,0.164,11
9.053,123.3007,70.39,116,7.634,0.73,6.5,10.1,0.099,29
32.6119,140.3151,115.86,127,0.655,1.18,6.9,5,0.098,31
38.2447,141.6869,58.46,133,0.801,0.86,5.8,6.2,0.089,12
23.0468,121.081,10,117,0.228,1.1,5.6,1.8,0.104,27
36.1552,69.9594,109.04,79,1.088,0.85,4.7,9.7,0.143,14
17.0654,145.4963,14.84,138,1.836,0.49,11.4,6.2,0.17,10
33.1624,83.1998,10,126,6.049,0.67,5.5,1.9,0.104,25
12.3652,144.9692,10,96,1.22,0.93,7,2,0.197,8
41.0222,142.4448,56.24,148,1.071,0.83,6.4,9.8,0.127,17
48.1734,154.6236,35.15,171,5.313,1.05,10.9,10.9,0.109,25
19.0522,122.1487,83.06,91,3.877,0.58,9.3,5.2,0.07,60
53.2969,153.8426,480.47,105,2.327,0.43,11.8,8.8,0.044,149
37.9815,68.1288,24.22,67,0.967,1,3,6.6,0.14,14
22.8042,94.4713,105.17,49,0.821,0.67,3.7,5.9,0.074,55
37.4474,141.2328,55.06,138,0.548,0.92,6.8,6.1,0.105,26
14.6681,92.6095,10,151,2.997,0.88,5.3,1.9,0.216,6
41.1034,142.4323,31,51,1.061,0.88,6.3,1.8,0.06,27
43.4536,132.7856,482.83,42,0.942,0.75,6.9,7.8,0.039,187
23.6562,142.0818,87.09,161,3.426,0.65,15.7,6.2,0.115,22
26.4351,140.7927,487.91,37,1.407,0.94,9.6,6.3,0.028,398
38.1475,141.7628,54.6,142,0.817,0.9,7.6,8.1,0.125,18
36.4138,140.9276,23.91,154,1.456,1.34,5.3,5.7,0.14,15
11.3308,126.1954,10,140,35.591,0.39,10.8,1.9,0.19,8
41.4055,68.995,12.29,40,1.931,0.63,2.1,5.1,0.074,53
8.9363,126.255,42.79,133,1.971,0.7,10,9.6,0.113,22
18.2864,96.0706,10,37,2.631,0.95,4.1,1.8,0.07,63
12.9944,145.1022,39.91,118,0.633,0.63,9.6,8.5,0.238,5
37.5988,78.0965,38.46,123,4.131,0.62,3.7,11.5,0.166,10
14.1032,144.9834,158.82,104,0.523,0.55,10.6,3.1,0.085,39
28.8901,139.8931,376,101,2.702,0.81,12.2,9.5,0.101,27
51.8956,156.7811,155.79,131,1.337,0.89,10,6.9,0.069,60
44.3031,148.7212,35,172,4.409,0.88,10.8,2,0.112,22
17.085,120.0504,21.7,61,3.086,0.68,7.8,5.1,0.049,130
43.6421,87.4253,10,34,4.804,0.93,5,1.8,0.049,136
23.9745,94.6915,86.78,106,0.438,0.51,7.5,7.1,0.112,22
44.5925,149.2,45.22,136,4.761,0.61,9.4,7.4,0.057,98
36.5588,70.8532,187.52,80,0.607,0.75,8.1,5.9,0.159,11
26.1323,89.8746,11.47,67,1.872,0.79,6.8,4.6,0.075,53
9.3741,125.4506,10,135,13.449,1.24,8.1,1.9,0.155,15
9.8009,145.6129,10,74,3.835,0.6,11.1,1.9,0.085,41
36.4289,76.9152,10,113,4.078,0.92,9.7,2,0.233,5
43.654,146.3326,92.86,104,2.743,0.79,7.4,6.5,0.038,219
13.6656,144.3259,136.48,101,0.532,0.69,14,8.7,0.068,59
29.3616,140.801,10,121,2.566,1.08,7.1,1.9,0.121,19
37.5284,71.751,133.71,173,1.019,1.31,8.5,11.4,0.2,7
14.4672,147.1109,10,125,1.491,1.1,4.9,2,0.162,11
67.5471,142.5864,10,85,6.302,0.78,6.6,2,0.084,39
48.1839,152.9439,118.84,186,5.782,0.49,17.7,14.9,0.098,29
43.604,82.9695,10,80,3.225,0.73,8.2,1.9,0.105,28
52.5167,153.0124,466.2,79,2.905,0.71,8.9,3.7,0.055,32
44.5922,148.0835,71.12,173,3.966,0.69,6.9,9.2,0.08,43
25.2304,95.0332,83.69,45,1.198,0.74,7.6,6.5,0.088,38
27.4612,141.8255,50.71,51,0.484,0.89,8,2.5,0.047,148
44.9322,149.826,50.45,169,5.235,0.56,9.4,5.3,0.089,36
36.2698,71.0571,102.37,80,0.937,0.52,6.2,9.2,0.141,14
53.3975,160.5421,62.67,112,1.198,0.93,9.5,5.8,0.056,91
19.2948,121.1336,27.86,152,3.505,0.53,13.6,4.4,0.111,23
20.7734,122.0377,145.82,117,2.22,0.45,11.2,8.9,0.125,17
15.2725,146.236,78.44,90,0.432,0.76,9.3,6.3,0.128,17
18.4364,96.0954,10,104,2.483,0.61,7.8,1.9,0.22,6
37.0691,72.006,166.14,80,1.144,0.79,6,12.5,0.258,4
25.0495,121.7264,140.3,44,0.221,0.88,7.3,5,0.065,69
38.1667,74.0871,168.69,64,2.974,0.77,8.2,8.2,0.217,6
34.99,86.9597,10,40,6.341,1.03,4.3,1.8,0.043,173
41.7925,143.203,47.15,150,0.224,0.92,8.5,3.7,0.145,14
21.4874,144.2489,124.79,160,5.892,0.31,23.6,11.9,0.154,12
11.5,124.2388,35,97,12.545,0.35,7.7,2,0.149,15
47.2102,84.8999,33.03,133,1.833,0.41,11,6.6,0.151,13
36.6893,71.1805,218.13,113,0.651,0.42,7.3,5.5,0.101,27
24.5799,94.9415,101.42,64,0.68,1.1,7,8.7,0.134,15
42.8062,145.5323,65.79,150,1.928,0.73,9.4,9.5,0.051,113
11.588,124.4314,34.08,107,4.63,0.88,12.5,6.2,0.1,30
11.1109,125.3903,19.24,103,4.019,1.07,6.3,6,0.119,21
30.5516,132.0594,19.68,133,2.756,0.78,6.9,4.4,0.117,7
46.2123,152.8582,36.05,187,6.999,0.71,12.9,11.8,0.115,22
46.5637,129.6468,10,99,1.946,0.52,9.2,1.9,0.088,38
38.2562,73.9154,52.28,57,2.879,0.81,7,6.5,0.087,39
25.05,123.841,10,87,0.951,0.91,5.4,1.9,0.107,26
25.0774,123.7172,10,100,0.883,1.19,4.5,1.9,0.075,54
25.1319,123.6369,10,99,0.872,0.98,6.7,1.9,0.103,28
18.3202,96.0978,10,62,2.59,0.83,3.8,1.9,0.077,52
13.464,120.51,54.71,46,0.757,1.06,8.1,6.6,0.058,96
12.1779,92.4336,32.95,107,6.873,0.72,9.3,6.2,0.086,41
13.4038,120.4435,35,46,0.843,0.7,7.4,2,0.075,55
52.8794,159.6955,47.22,119,0.648,1.07,7.8,4.8,0.051,113
36.4525,70.7313,199.53,56,0.683,0.73,6.5,3.1,0.055,32
41.8465,143.2019,46.22,132,0.171,0.99,7.2,7,0.061,85
36.8608,71.3704,99.27,66,0.688,0.8,6.6,6.7,0.167,10
26.6489,130.3505,10,106,1.138,0.79,5.8,1.9,0.156,12
18.3725,96.0922,10,61,2.543,0.57,6.6,1.9,0.079,47
18.4992,96.215,10,127,2.385,0.94,8,1.9,0.149,13
13.8292,125.4753,10,131,4.414,0.44,6.2,1.9,0.104,27
16.618,95.9378,10,199,3.4,0.53,6.5,2,0.109,11
30.7198,131.9416,10,135,2.563,1.01,5.8,1.8,0.114,23
38.582,141.8741,58.39,166,1.111,0.89,8.3,7.1,0.157,11
11.3823,125.4494,130.08,102,12.712,1.28,13.2,7.5,0.083,42
18.3926,96.2827,10,72,2.526,1.28,7.3,1.9,0.072,60
27.7807,142.9868,10,52,0.987,0.48,6.3,1.3,0.058,90
30.6844,131.8873,10,68,2.58,0.8,4.7,1.9,0.052,116
27.7481,142.8973,10,161,0.907,0.59,10.2,2,0.156,12
27.9786,140.0643,428.73,78,2.077,0.54,12.3,9.9,0.071,54
24.9159,95.2518,128.71,51,1.103,0.84,6,9.1,0.16,11
18.3426,96.0774,10,105,2.723,0.86,7.9,1.9,0.123,19
38.4978,70.02,17.53,61,0.809,0.82,4.2,4.1,0.062,85
20.3944,146.2415,61.32,78,5.143,0.59,11.3,8.1,0.111,24
18.3199,96.0561,10,96,2.744,1.34,5.5,1.9,0.142,14
27.7755,142.9548,14.01,164,0.963,0.74,10.7,3.5,0.169,10
52.634,152.1443,486.07,131,3.399,0.72,15.6,10.6,0.101,27
18.5356,96.1126,10,72,2.698,0.69,5.6,1.8,0.108,26
18.348,96.0162,10,69,2.781,0.93,8,1.9,0.085,42
18.4286,96.1265,10,96,2.673,0.64,7.2,1.9,0.092,35
18.4183,96.0697,10,28,3.579,1.1,6.5,1.8,0.098,10
18.4505,96.1686,10,62,2.656,1.02,7.2,1.8,0.073,63
18.3156,96.1079,10,53,2.735,1.05,4.7,1.7,0.103,9
18.4229,95.9558,10,63,2.835,0.72,7.7,1.6,0.057,102
18.3719,96.0717,9,29,2.759,1.01,6.3,1.8,0.052,35
27.9591,127.9214,10,139,1.161,0.47,9,1.9,0.139,15
19.7125,145.4827,126.56,73,4.456,0.66,9.2,7.3,0.035,255
23.7157,126.7353,10,80,3.404,0.66,7.3,1.8,0.05,131
42.5328,142.3851,115.19,79,0.772,0.71,5.3,6.6,0.052,112
30.7213,131.9865,10,136,2.575,0.94,7.9,1.9,0.127,18
30.7376,132.0337,32.1,135,2.575,1.19,7.3,6.2,0.057,98
21.6366,143.0578,303.03,96,5.492,0.84,9.1,3.8,0.028,393
35.3367,141.199,18.93,37,2.495,0.78,5.4,2.3,0.036,256
35.4154,141.195,34.54,133,2.47,0.64,5.8,3.6,0.066,73
29.5782,140.0974,31.46,109,3.082,0.47,8.9,2.9,0.108,27
29.5822,140.4155,47.1,96,2.927,1.07,3.8,6.5,0.084,43
39.6986,141.9779,69.63,152,1.294,0.93,7.4,8.5,0.088,37
38.1613,72.6886,112.89,47,1.969,0.58,5.7,5.5,0.08,15
21.3686,103.3746,10,64,0.497,1.09,6,1.9,0.142,14
36.4639,71.118,106.95,75,0.79,1.26,7.3,8.1,0.116,20
33.7236,132.1526,58.94,84,1.222,0.98,6.1,6.8,0.073,56
50.2915,90.1416,15.56,63,4.915,0.71,10.9,6.6,0.098,30
27.1594,126.6578,149.4,68,1.476,0.62,9.1,7.7,0.06,79
36.4313,70.8745,153.73,75,0.733,1.03,6.2,12.7,0.234,5
38.9015,70.2809,40.39,62,1.023,1.18,4.4,9.8,0.112,23
39.602,73.288,45.69,72,1.735,1,7.2,8.5,0.153,12
33.963,136.8495,354.7,71,2.485,0.67,8.7,7.6,0.033,259
21.3776,103.3743,10.09,71,0.499,0.8,5.9,5.4,0.154,12
36.3315,141.2623,28.03,133,1.58,1.24,6.7,3.7,0.073,18
24.7382,94.9055,33,17,0.748,0.63,6.2,1.8,0.054,33
18.8565,147.0714,10,84,3.799,0.81,6.4,1.8,0.068,71
17.6825,94.4005,36.26,171,4.389,0.82,8.2,6.7,0.174,9
19.2831,119.9079,10,143,3.683,0.49,4.8,1.9,0.196,7
37.5062,78.0899,10,87,4.223,0.74,5.3,2,0.15,12
46.547,154.2383,10,192,6.938,1.08,9.8,1.9,0.09,37
40.7851,142.5355,50.07,115,1.116,0.97,8.2,7.4,0.069,63
28.9538,142.3725,10,141,1.858,0.51,5.6,1.9,0.066,69
34.8211,139.2303,14.67,66,0.874,0.87,4,1.6,0.059,86
47.3806,152.1342,88.76,126,6.405,0.53,8.5,6.1,0.069,61
34.846,139.2678,12.24,128,0.908,0.72,3.6,4.3,0.099,34
35.582,140.0131,73.41,39,1.75,1.14,2.5,4.7,0.08,15
35.2909,141.3471,27.85,118,2.514,1.32,6.9,5,0.098,10
12.1675,141.2422,10,120,3.807,0.25,13.1,1.9,0.16,11
38.1585,74.324,174.98,95,3.148,0.82,8.6,10.8,0.131,16
29.6055,140.5766,10,97,2.874,0.67,4.6,1.9,0.058,88
35.8361,140.7786,35.26,93,2.029,0.71,6.6,5.5,0.068,21
14.6789,147.254,10,158,1.522,0.36,6.3,2,0.301,3
38.6691,73.647,109.69,79,2.594,0.46,7.2,10.1,0.142,14
18.9327,146.895,35,160,3.82,0.53,9.3,1.9,0.081,44
48.2574,152.8688,124.41,168,5.744,0.58,9,7.9,0.064,69
38.8959,72.4571,10,47,1.719,1.11,4.8,1.9,0.107,33
24.9808,96.4161,61.11,43,2.066,0.91,7.8,7.5,0.066,67
29.6604,140.2602,10,94,3.066,0.93,9.7,1.9,0.088,39
29.5673,140.5203,17.29,100,2.866,1.01,8.2,5.6,0.084,42
