latitude,longitude,depth,gap,dmin,rms,horizontalError,depthError,magError,magNst
23.4678,143.2801,10,97,3.746,0.83,9,1.8,0.097,31
24.1937,125.2046,30.25,76,2.019,1.14,8.3,5.1,0.06,27
41.749,81.5708,35,110,1.851,0.65,4.2,2,0.164,11
43.9965,148.5542,35,179,4.298,0.49,12.2,2,0.073,54
30.7822,141.9762,10,124,2.964,0.81,9,1.9,0.095,36
54.9674,159.0909,10,131,1.965,0.57,9.4,1.9,0.117,21
25.3931,141.0321,115.25,108,1.986,1.03,6.2,7.3,0.097,33
37.4708,72.1647,192.96,88,0.405,0.49,9.1,4.6,0.237,5
13.0431,143.3765,211.68,126,1.55,0.72,15.1,11.4,0.145,14
26.3407,143.8582,36.24,139,1.675,0.93,10.3,7.6,0.062,80
35.6823,89.3003,10,70,6.157,0.71,9.6,1.9,0.124,18
36.46,67.4497,13.61,74,1.224,1.12,6.1,3.6,0.061,88
39.6014,141.937,49.23,137,1.361,0.69,7.3,7.5,0.108,25
24.7898,121.8185,82.36,46,0.344,0.7,4.9,1.9,0.203,8
24.3585,122.6872,72.47,79,0.314,0.9,5.3,5,0.098,10
34.9462,137.6035,279.43,100,0.619,1.12,8.2,5.4,0.054,95
11.7364,143.6362,19.62,130,2.199,0.47,11.1,6,0.071,61
27.7242,126.9958,207.29,101,1.44,0.72,6.9,11,0.147,13
43.8533,94.1723,10,58,8.872,0.56,6.5,1.9,0.078,48
11.0925,140.6754,10,45,4.789,0.8,9,1.8,0.035,268
51.1404,157.4127,72.54,163,1.978,0.57,11.6,8.8,0.079,47
34.0148,83.9006,11.97,75,6.533,0.65,7.4,3.5,0.087,39
34.7343,137.6236,289.38,68,0.464,0.85,9.1,7.2,0.106,24
12.7917,143.6979,102.01,92,1.388,0.57,10.9,6.9,0.079,47
33.8533,137.1298,351.34,76,1.495,0.68,7.7,5.2,0.1,27
42.6765,141.9846,35,75,1.092,0.61,5.5,1.9,0.04,193
34.7663,139.9805,105.5,97,1.483,0.71,6.3,6.8,0.107,28
45.2679,150.481,54.13,129,5.628,0.75,10,5.7,0.059,89
35.5945,69.7322,108.73,93,2.352,0.78,8,6.4,0.067,69
14.1877,125.2526,10,103,7.08,0.79,3.1,1.9,0.054,113
15.4368,146.1881,57.23,150,2.237,0.5,6.4,8.8,0.087,41
42.9554,139.2679,8.66,94,2.546,0.62,7.1,3,0.086,40
35.1195,81.0705,18.86,75,6.244,0.8,7,3.6,0.098,30
27.4077,65.6693,26.86,100,7.552,1.01,8.6,4.8,0.096,32
12.3518,144.4034,10,147,1.31,0.76,13.8,1.9,0.113,23
37.4823,72.1774,199.06,63,0.414,0.36,7.7,4.8,0.093,33
31.429,141.9255,10,124,2.454,1.12,6.4,1.9,0.077,52
29.9248,80.6472,10,109,5.746,0.87,6,1.9,0.096,32
38.0034,72.8847,148.31,67,1.079,0.67,7.1,7.3,0.152,12
49.5007,155.8883,44.49,164,3.786,1.05,10.9,5.3,0.081,46
32.1754,69.6953,46.98,205,2.421,1.12,11.3,9.3,0.144,13
29.5891,142.2126,10,153,2.484,0.63,7.3,1.9,0.239,5
50.0951,156.7907,10,180,3.07,0.46,11.7,2,0.199,7
23.9634,93.3951,51.07,50,0.868,0.67,5,5.3,0.078,16
28.1838,143.1919,34.53,202,1.404,0.86,11.5,9.1,0.135,16
23.4413,143.2726,35,122,3.769,0.72,2.9,2,0.077,50
31.3416,140.9099,10,130,1.997,0.88,8,1.9,0.127,18
22.7155,142.9597,158.4,106,4.417,1.22,9.2,7.8,0.055,102
43.8404,86.5149,33.82,159,4.194,1.09,11.2,9.5,0.197,7
31.4465,141.757,10,138,2.34,0.64,7,1.9,0.068,65
31.4081,141.6164,7.65,89,2.286,0.92,6.7,4.7,0.046,145
47.6441,90.3333,10,40,5.545,1.04,8.3,1.9,0.075,56
44.7029,145.6413,29.8,134,2.261,0.87,5.8,6.2,0.057,93
12.2866,144.6925,10,102,1.306,0.72,10.3,1.7,0.121,20
